                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1717,                 4.3469,                 1.0797,                0.00274,                    0.2,                0.04975,                0.04975,                 1.1958,                 3.9821,                0.90951,                      0,                      0,                      0
                      2,                0.75104,                 3.9262,                0.90962,                 0.0027,                    0.2,                0.04975,                0.04975,                 1.2169,                 3.9978,                0.91451,                1.1e-05,                1.1e-05,                1.1e-05
                      3,                 1.1421,                 4.3544,                0.88913,                0.00263,                    0.2,                0.04975,                0.04975,                 1.2001,                 4.0187,                0.92658,              2.178e-05,              2.178e-05,              2.178e-05
                      4,                 1.2535,                  4.339,                 1.0352,                 0.0026,                    0.2,                0.04975,                0.04975,                 1.2406,                 4.0222,                0.95427,              3.234e-05,              3.234e-05,              3.234e-05
                      5,                0.78994,                 3.8481,                0.96882,                0.00256,                    0.2,                0.06633,                0.06633,                 1.2451,                 4.0255,                 0.9707,              4.268e-05,              4.268e-05,              4.268e-05
                      6,                0.91901,                   4.05,                0.92966,                0.00267,                    0.2,                 0.0995,                 0.0995,                   1.22,                 4.0189,                0.97823,               5.28e-05,               5.28e-05,               5.28e-05
                      7,                0.70713,                 3.9228,                0.97439,                0.00267,                    0.2,                 0.0995,                 0.0995,                 1.0179,                 3.9359,                0.84761,               6.27e-05,               6.27e-05,               6.27e-05
                      8,                 1.5498,                 4.1947,                 1.0113,                0.00278,                    0.2,                 0.0995,                 0.0995,                 1.0177,                 3.9205,                0.82686,             7.2381e-05,             7.2381e-05,             7.2381e-05
                      9,                0.87782,                  3.706,                0.90595,                0.00267,                    0.2,                  0.199,                  0.199,                 1.0122,                 3.9116,                0.81404,             8.1841e-05,             8.1841e-05,             8.1841e-05
                     10,                0.77972,                 3.7641,                0.91639,                 0.0027,                    0.2,                  0.199,                  0.199,                  0.968,                 3.9087,                0.80472,             9.1081e-05,             9.1081e-05,             9.1081e-05
                     11,                 1.5922,                 4.2074,                 1.1238,                 0.0027,                    0.2,                  0.199,                  0.199,                0.93457,                 3.9177,                0.80444,              0.0001001,              0.0001001,              0.0001001
                     12,                0.80533,                 3.7316,                0.91242,                0.00263,                    0.2,                  0.199,                  0.199,                0.94512,                 3.8807,                0.78927,              0.0001089,              0.0001089,              0.0001089
                     13,                  1.865,                 4.4154,                 1.1457,                 0.0027,                    0.2,                  0.199,                  0.199,                0.91921,                 3.8329,                0.77661,             0.00011748,             0.00011748,             0.00011748
                     14,                 2.3082,                 5.7369,                 1.5402,                 0.0027,                    0.2,                  0.199,                  0.199,                0.90197,                 3.8182,                0.77432,             0.00012584,             0.00012584,             0.00012584
                     15,                0.87007,                 3.3016,                0.86656,                0.00286,                    0.2,                  0.199,                 0.1791,                0.85605,                 3.8042,                0.77344,             0.00013398,             0.00013398,             0.00013398
                     16,                 1.2292,                 3.5371,                0.86162,                0.00274,                    0.2,                  0.199,                 0.1791,                0.81532,                 3.7915,                0.77112,              0.0001419,              0.0001419,              0.0001419
                     17,                 1.6119,                 3.4678,                0.90491,                 0.0027,                    0.2,                  0.199,                 0.1791,                0.77888,                 3.7517,                0.76422,              0.0001496,              0.0001496,              0.0001496
                     18,                 1.7488,                 4.2085,                 1.1539,                 0.0027,                    0.2,                  0.199,                 0.1791,                0.77888,                 3.7517,                0.76422,             0.00015708,             0.00015708,             0.00015708
                     19,                0.94578,                 2.4275,                  1.126,                 0.0026,                    0.2,                  0.199,                 0.1791,                0.71239,                 3.7403,                0.75284,             0.00016434,             0.00016434,             0.00016434
                     20,                0.91022,                 2.1591,                0.88612,                 0.0026,                    0.2,                  0.199,                 0.1791,                0.71239,                 3.7403,                0.75284,             0.00017138,             0.00017138,             0.00017138
                     21,                 1.3002,                  2.588,                0.95659,                 0.0027,                    0.2,                  0.199,                 0.1791,                0.65518,                 3.6755,                0.73878,              0.0001782,              0.0001782,              0.0001782
                     22,                 1.1416,                 2.0648,                0.95001,                 0.0027,                    0.2,                  0.199,                 0.1791,                0.65518,                 3.6755,                0.73878,              0.0001848,              0.0001848,              0.0001848
                     23,                0.91797,                  1.882,                0.87113,                0.00263,                    0.2,                  0.199,                 0.1791,                0.72517,                 3.6153,                 0.7424,             0.00019119,             0.00019119,             0.00019119
                     24,                0.85368,                 1.9957,                0.90519,                0.00263,                    0.2,                  0.199,                 0.1791,                0.72517,                 3.6153,                 0.7424,             0.00019735,             0.00019735,             0.00019735
                     25,                 1.7046,                 2.5069,                0.97103,                0.00589,                    0.4,                  0.398,                 0.3184,                0.80565,                 3.5105,                0.75088,             0.00020329,             0.00020329,             0.00020329
                     26,                0.97035,                 1.6013,                0.90501,                0.00589,                    0.4,                  0.398,                 0.3184,                0.80565,                 3.5105,                0.75088,             0.00020901,             0.00020901,             0.00020901
                     27,                 1.9303,                 3.1505,                 1.0569,                0.00612,                    0.4,                  0.398,                 0.2985,                0.88936,                 3.3852,                0.77041,             0.00021451,             0.00021451,             0.00021451
                     28,                0.60339,                 1.9115,                0.82737,                0.00612,                    0.4,                  0.398,                 0.2985,                0.88936,                 3.3852,                0.77041,             0.00021979,             0.00021979,             0.00021979
                     29,                0.88085,                 1.8045,                0.89866,                 0.0062,                    0.4,                  0.398,                 0.2985,                0.91312,                 3.2801,                0.76013,             0.00022485,             0.00022485,             0.00022485
                     30,                 1.0309,                 1.6804,                0.97235,                 0.0062,                    0.4,                  0.398,                 0.2985,                0.91312,                 3.2801,                0.76013,             0.00022969,             0.00022969,             0.00022969
                     31,                 1.2394,                 2.7116,                0.97193,                0.00636,                    0.4,                  0.398,                 0.2985,                0.99759,                 3.1939,                0.78886,             0.00023431,             0.00023431,             0.00023431
                     32,                 1.1499,                 1.6349,                0.89291,                0.00636,                    0.4,                  0.398,                 0.2985,                0.99759,                 3.1939,                0.78886,             0.00023871,             0.00023871,             0.00023871
                     33,                0.66764,                 1.5946,                0.85391,                0.00892,                    0.6,                0.40705,                0.30574,                 1.0953,                 3.1815,                0.83768,             0.00024289,             0.00024289,             0.00024289
                     34,                 1.3974,                 2.7469,                 1.0282,                0.00892,                    0.6,                0.40705,                0.30574,                 1.0953,                 3.1815,                0.83768,             0.00024685,             0.00024685,             0.00024685
                     35,                 1.1081,                 1.5534,                0.95719,                0.00908,                    0.6,                  0.597,                 0.4378,                 1.0883,                 3.1418,                0.84784,             0.00025059,             0.00025059,             0.00025059
                     36,                 0.7601,                 1.6207,                0.90357,                0.00908,                    0.6,                  0.597,                 0.4378,                 1.0883,                 3.1418,                0.84784,             0.00025411,             0.00025411,             0.00025411
                     37,                 1.2814,                 2.1931,                0.93433,                0.00885,                    0.6,                  0.597,                 0.4378,                 1.0586,                 3.1336,                0.85035,             0.00025741,             0.00025741,             0.00025741
                     38,                0.77858,                 1.5255,                 1.0327,                0.00885,                    0.6,                  0.597,                 0.4378,                 1.0586,                 3.1336,                0.85035,              0.0002605,              0.0002605,              0.0002605
                     39,                0.73341,                 1.6171,                0.78844,                0.00876,                    0.6,                  0.597,                 0.4776,                0.96141,                 3.1335,                0.86204,             0.00026336,             0.00026336,             0.00026336
                     40,                 1.3012,                 2.0655,                0.88928,                0.00876,                    0.6,                  0.597,                 0.4776,                0.96141,                 3.1335,                0.86204,               0.000266,               0.000266,               0.000266
                     41,                 1.0022,                  2.014,                0.93905,                0.00873,                    0.6,                  0.597,                 0.4975,                0.84562,                  3.126,                0.84847,             0.00026842,             0.00026842,             0.00026842
                     42,                  1.534,                 2.1887,                 1.0504,                0.00873,                    0.6,                  0.597,                 0.4975,                0.84562,                  3.126,                0.84847,             0.00027062,             0.00027062,             0.00027062
                     43,                0.75935,                 1.1511,                0.90383,                0.00897,                    0.6,                  0.597,                 0.5174,                0.75865,                 3.1103,                0.84224,              0.0002726,              0.0002726,              0.0002726
                     44,                0.91917,                 1.3636,                0.89572,                0.00897,                    0.6,                  0.597,                 0.5174,                0.75865,                 3.1103,                0.84224,             0.00027436,             0.00027436,             0.00027436
